episode_id,dyad,host_gender,guest_gender,host_word_count,guest_word_count,total_words,host_speaking_share,guest_speaking_share,dominance_ratio,host_hedge_count,guest_hedge_count,host_hedge_per_1k,guest_hedge_per_1k,host_booster_count,guest_booster_count,host_booster_per_1k,guest_booster_per_1k,host_polite_count,guest_polite_count,host_polite_per_1k,guest_polite_per_1k,host_directive_count,guest_directive_count,host_directive_per_1k,guest_directive_per_1k
ep_310_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,2432,7874,10306,0.23597904133514458,0.7640209586648554,0.30886461772923546,17,90,6.990131578947368,11.43002286004572,5,9,2.0559210526315788,1.143002286004572,2,3,0.8223684210526315,0.381000762001524,4,9,1.644736842105263,1.143002286004572
ep_269_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2818,11411,14229,0.19804624358704054,0.8019537564129594,0.24695469284024188,15,100,5.322924059616749,8.763473841030585,1,18,0.35486160397445,1.5774252913855054,6,4,2.1291696238467,0.3505389536412234,4,15,1.4194464158978,1.3145210761545878
ep_328_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,969,4761,5730,0.16910994764397905,0.830890052356021,0.203528670447385,11,25,11.351909184726525,5.250997689561016,0,3,0.0,0.630119722747322,0,2,0.0,0.4200798151648813,0,10,0.0,2.1003990758244067
ep_112_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,1883,16121,18004,0.10458786936236392,0.895412130637636,0.116804168475901,26,107,13.807753584705257,6.637305378078283,3,9,1.5932023366967605,0.5582780224551828,5,7,2.655337227827934,0.4342162396873643,0,18,0.0,1.1165560449103655
ep_325_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1523,7947,9470,0.16082365364308343,0.8391763463569166,0.1916446457782811,12,74,7.879185817465528,9.311689945891532,1,7,0.6565988181221273,0.880835535422172,0,10,0.0,1.2583364791745313,4,11,2.626395272488509,1.3841701270919844
ep_074_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,4467,7266,11733,0.3807210432114549,0.6192789567885452,0.6147811725846408,31,62,6.93978061338706,8.53289292595651,13,23,2.910230579807477,3.1654280209193506,23,16,5.14886948735169,2.202036884117809,4,2,0.8954555630176853,0.2752546105147261
ep_305_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1214,8125,9339,0.12999250455080844,0.8700074954491915,0.14941538461538462,1,43,0.8237232289950577,5.292307692307692,3,2,2.471169686985173,0.2461538461538461,5,4,4.118616144975288,0.4923076923076923,0,3,0.0,0.3692307692307692
ep_066_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,3475,6418,9893,0.35125846558172447,0.6487415344182755,0.5414459333125584,42,75,12.086330935251798,11.685883452789032,2,6,0.5755395683453237,0.9348706762231224,4,4,1.1510791366906474,0.6232471174820816,2,11,0.5755395683453237,1.7139295730757245
ep_263_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,1554,13950,15504,0.10023219814241487,0.8997678018575851,0.1113978494623656,3,83,1.9305019305019304,5.949820788530467,0,2,0.0,0.1433691756272401,5,11,3.217503217503217,0.7885304659498208,1,13,0.6435006435006435,0.931899641577061
ep_332_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1301,6717,8018,0.16225991519082064,0.8377400848091794,0.19368765818073544,16,53,12.298232129131437,7.89042727408069,4,4,3.074558032282859,0.595503945213637,5,12,3.843197540353574,1.786511835640911,2,11,1.5372790161414296,1.6376358493375018
ep_307_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1449,4227,5676,0.25528541226215645,0.7447145877378436,0.34279630943931866,11,56,7.59144237405107,13.248166548379466,6,2,4.140786749482402,0.4731488052992666,4,4,2.7605244996549345,0.9462976105985332,0,6,0.0,1.4194464158978
ep_110_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,4995,13076,18071,0.2764097172264955,0.7235902827735045,0.3819975527684307,62,126,12.412412412412412,9.635974304068522,5,4,1.001001001001001,0.3059039461609055,7,9,1.4014014014014011,0.6882838788620373,12,27,2.4024024024024024,2.064851636586112
